,filename,label,label_name,sets
0,bagpipe.wav,0,music,train
1,ballad.wav,0,music,train
2,bartok.wav,0,music,test
3,beat.wav,0,music,train
4,beatles.wav,0,music,test
5,bigband.wav,0,music,train
6,birdland.wav,0,music,train
7,blues.wav,0,music,train
8,bmarsalis.wav,0,music,train
9,brahms.wav,0,music,train
10,canonaki.wav,0,music,train
11,caravan.wav,0,music,test
12,chaka.wav,0,music,train
13,classical.wav,0,music,train
14,classical1.wav,0,music,train
15,classical2.wav,0,music,test
16,copland.wav,0,music,test
17,copland2.wav,0,music,train
18,corea.wav,0,music,train
19,corea1.wav,0,music,train
20,cure.wav,0,music,train
21,debussy.wav,0,music,train
22,deedee.wav,0,music,train
23,deedee1.wav,0,music,test
24,duke.wav,0,music,train
25,echoes.wav,0,music,train
26,eguitar.wav,0,music,test
27,georose.wav,0,music,train
28,gismonti.wav,0,music,train
29,glass.wav,0,music,test
30,glass1.wav,0,music,train
31,gravity.wav,0,music,train
32,gravity2.wav,0,music,train
33,guitar.wav,0,music,train
34,hendrix.wav,0,music,train
35,ipanema.wav,0,music,train
36,jazz.wav,0,music,train
37,jazz1.wav,0,music,train
38,led.wav,0,music,train
39,loreena.wav,0,music,train
40,madradeus.wav,0,music,train
41,magkas.wav,0,music,test
42,march.wav,0,music,train
43,marlene.wav,0,music,test
44,mingus.wav,0,music,train
45,mingus1.wav,0,music,train
46,misirlou.wav,0,music,test
47,moanin.wav,0,music,train
48,narch.wav,0,music,train
49,ncherry.wav,0,music,train
50,nearhou.wav,0,music,train
51,opera.wav,0,music,train
52,opera1.wav,0,music,train
53,pop.wav,0,music,test
54,prodigy.wav,0,music,train
55,redhot.wav,0,music,train
56,rock.wav,0,music,test
57,rock2.wav,0,music,train
58,russo.wav,0,music,train
59,tony.wav,0,music,train
60,u2.wav,0,music,train
61,unpoco.wav,0,music,train
62,vlobos.wav,0,music,train
63,winds.wav,0,music,train
0,acomic.wav,1,speech,train
1,acomic2.wav,1,speech,train
2,allison.wav,1,speech,train
3,amal.wav,1,speech,train
4,austria.wav,1,speech,train
5,bathroom1.wav,1,speech,train
6,chant.wav,1,speech,train
7,charles.wav,1,speech,train
8,china.wav,1,speech,test
9,comedy.wav,1,speech,test
10,comedy1.wav,1,speech,train
11,conversion.wav,1,speech,train
12,danie.wav,1,speech,train
13,danie1.wav,1,speech,train
14,dialogue.wav,1,speech,train
15,dialogue1.wav,1,speech,train
16,dialogue2.wav,1,speech,train
17,diamond.wav,1,speech,train
18,ellhnika.wav,1,speech,test
19,emil.wav,1,speech,train
20,female.wav,1,speech,train
21,fem_rock.wav,1,speech,train
22,fire.wav,1,speech,test
23,geography.wav,1,speech,train
24,geography1.wav,1,speech,train
25,georg.wav,1,speech,train
26,god.wav,1,speech,train
27,greek.wav,1,speech,train
28,greek1.wav,1,speech,train
29,india.wav,1,speech,train
30,jony.wav,1,speech,train
31,jvoice.wav,1,speech,train
32,kedar.wav,1,speech,train
33,kid.wav,1,speech,train
34,lena.wav,1,speech,train
35,male.wav,1,speech,test
36,my_voice.wav,1,speech,test
37,nether.wav,1,speech,train
38,news1.wav,1,speech,test
39,news2.wav,1,speech,train
40,nj105.wav,1,speech,train
41,nj105a.wav,1,speech,train
42,oneday.wav,1,speech,train
43,psychic.wav,1,speech,train
44,pulp.wav,1,speech,test
45,pulp1.wav,1,speech,train
46,pulp2.wav,1,speech,train
47,relation.wav,1,speech,train
48,serbian.wav,1,speech,test
49,shannon.wav,1,speech,train
50,sleep.wav,1,speech,train
51,smoke1.wav,1,speech,train
52,smoking.wav,1,speech,train
53,stupid.wav,1,speech,test
54,teachers.wav,1,speech,train
55,teachers1.wav,1,speech,train
56,teachers2.wav,1,speech,test
57,thlui.wav,1,speech,train
58,undergrad.wav,1,speech,train
59,vegetables.wav,1,speech,train
60,vegetables1.wav,1,speech,train
61,vegetables2.wav,1,speech,test
62,voice.wav,1,speech,train
63,voices.wav,1,speech,test
